Designator,Mid X,Mid Y,Rotation,Layer
C1,145.5,-111.0,180.0,top
C2,173.5,-105.0,0.0,top
D1,140.0,-90.27,270.0,top
D2,153.0,-90.27,270.0,top
J1,147.5,-80.295,180.0,top
R1,171.81,-97.0,0.0,top
R2,161.0,-97.0,0.0,top
R3,127.0,-96.0,0.0,top
R4,123.73,-102.0,180.0,top
R5,135.0,-102.19,90.0,top
R6,147.0,-99.19,90.0,top
RV1,130.46,-87.715,90.0,top
U1,160.81,-107.19,90.0,top
